EISSN,Title,JCR Abbr,ISO Abbr,Med Abbr
1473-4257,JOURNAL OF MEDICAL ETHICS,J MED ETHICS,J. Med. Ethics,J Med Ethics
1097-4687,JOURNAL OF MORPHOLOGY,J MORPHOL,J. Morphol.,J Morphol
1557-9042,JOURNAL OF NEUROTRAUMA,J NEUROTRAUM,J. Neurotrauma,J Neurotrauma
1095-8584,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,J. Mol. Cell. Cardiol.,J Mol Cell Cardiol
1432-1424,JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,J. Membr. Biol.,J Membr Biol
1089-8638,JOURNAL OF MOLECULAR BIOLOGY,J MOL BIOL,J. Mol. Biol.,J Mol Biol
1432-1432,JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,J. Mol. Evol.,J Mol Evol
1573-3521,JOURNAL OF BEHAVIORAL MEDICINE,J BEHAV MED,J. Behav. Med.,J Behav Med
1365-2818,JOURNAL OF MICROSCOPY,J MICROSC-OXFORD,J. Microsc.,J Microsc
1460-2105,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,JNCI-J. Natl. Cancer Inst.,J Natl Cancer Inst
1521-0715,JOURNAL OF SEX & MARITAL THERAPY,J SEX MARITAL THER,J. Sex Marital Ther.,J Sex Marital Ther
1573-689X,JOURNAL OF MEDICAL SYSTEMS,J MED SYST,J. Med. Syst.,J Med Syst
1943-4693,JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,J NATL MED ASSOC,J. Natl. Med. Assoc.,J Natl Med Assoc
1432-1459,JOURNAL OF NEUROLOGY,J NEUROL,J. Neurol.,J Neurol
1520-6025,JOURNAL OF NATURAL PRODUCTS,J NAT PROD,J. Nat. Prod.,J Nat Prod
1539-736X,JOURNAL OF NERVOUS AND MENTAL DISEASE,J NERV MENT DIS,J. Nerv. Ment. Dis.,J Nerv Ment Dis
1468-330X,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,J. Neurol. Neurosurg. Psychiatry,J Neurol Neurosurg Psychiatry
1878-5883,JOURNAL OF THE NEUROLOGICAL SCIENCES,J NEUROL SCI,J. Neurol. Sci.,J Neurol Sci
1532-8406,JOURNAL OF ARTHROPLASTY,J ARTHROPLASTY,J. Arthroplast.,J Arthroplasty
1471-4159,JOURNAL OF NEUROCHEMISTRY,J NEUROCHEM,J. Neurochem.,J Neurochem
1943-6270,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,J AM MOSQUITO CONTR,J. Am. Mosq. Control Assoc.,J Am Mosq Control Assoc
1554-6578,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,J NEUROPATH EXP NEUR,J. Neuropathol. Exp. Neurol.,J Neuropathol Exp Neurol
1573-4951,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,J. Comput.-Aided Mol. Des.,J Comput Aided Mol Des
1873-3344,JOURNAL OF INORGANIC BIOCHEMISTRY,J INORG BIOCHEM,J. Inorg. Biochem.,J Inorg Biochem
1878-5921,JOURNAL OF CLINICAL EPIDEMIOLOGY,J CLIN EPIDEMIOL,J. Clin. Epidemiol.,J Clin Epidemiol
1522-1598,JOURNAL OF NEUROPHYSIOLOGY,J NEUROPHYSIOL,J. Neurophysiol.,J Neurophysiol
1532-7655,Journal of Community Health Nursing,J COMMUN HEALTH NURS,J. Community Health Nurs.,J Community Health Nurs
1973-9478,JOURNAL OF CHEMOTHERAPY,J CHEMOTHERAPY,J. Chemother.,J Chemother
1933-0693,JOURNAL OF NEUROSURGERY,J NEUROSURG,J. Neurosurg.,J Neurosurg
1827-1855,Journal of Neurosurgical Sciences,J NEUROSURG SCI,J. Neurosurg. Sci.,J Neurosurg Sci
1573-7373,JOURNAL OF NEURO-ONCOLOGY,J NEURO-ONCOL,J. Neuro-Oncol.,J Neurooncol
1527-7755,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,J. Clin. Oncol.,J Clin Oncol
1550-5049,Journal of Cardiovascular Nursing,J CARDIOVASC NURS,J. Cardiovasc. Nurs.,J Cardiovasc Nurs
1539-0721,JOURNAL OF NURSING ADMINISTRATION,J NURS ADMIN,J. Nurs. Adm.,J Nurs Adm
1535-5667,JOURNAL OF NUCLEAR MEDICINE,J NUCL MED,J. Nucl. Med.,J Nucl Med
1531-2291,JOURNAL OF ORTHOPAEDIC TRAUMA,J ORTHOP TRAUMA,J. Orthop. Trauma,J Orthop Trauma
1938-2421,JOURNAL OF NURSING EDUCATION,J NURS EDUC,J. Nurs. Educ.,J Nurs Educ
1541-6100,JOURNAL OF NUTRITION,J NUTR,J. Nutr.,J Nutr
1525-1497,JOURNAL OF GENERAL INTERNAL MEDICINE,J GEN INTERN MED,J. Gen. Intern. Med.,J Gen Intern Med
1529-2401,JOURNAL OF NEUROSCIENCE,J NEUROSCI,J. Neurosci.,J Neurosci
1881-7742,JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,J NUTR SCI VITAMINOL,J. Nutr. Sci. Vitaminol.,J Nutr Sci Vitaminol (Tokyo)
1554-527X,JOURNAL OF ORTHOPAEDIC RESEARCH,J ORTHOP RES,J. Orthop. Res.,J Orthop Res
1552-6909,JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,JOGNN-J OBST GYN NEO,JOGNN,J Obstet Gynecol Neonatal Nurs
1520-6904,JOURNAL OF ORGANIC CHEMISTRY,J ORG CHEM,J. Org. Chem.,J Org Chem
1365-2842,JOURNAL OF ORAL REHABILITATION,J ORAL REHABIL,J. Oral Rehabil.,J Oral Rehabil
1879-1646,JOURNAL OF HEALTH ECONOMICS,J HEALTH ECON,J. Health Econ.,J Health Econ
1531-5053,JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,J ORAL MAXIL SURG,J. Oral Maxillofac. Surg.,J Oral Maxillofac Surg
1563-5260,JOURNAL OF NEUROGENETICS,J NEUROGENET,J. Neurogenet.,J Neurogenet
1554-558X,JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,J CONTIN EDUC HEALTH,J. Contin. Educ. Health Prof.,J Contin Educ Health Prof
1937-2345,JOURNAL OF PARASITOLOGY,J PARASITOL,J. Parasitol.,J Parasitol
1536-4801,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,J PEDIATR GASTR NUTR,J. Pediatr. Gastroenterol. Nutr.,J Pediatr Gastroenterol Nutr
1465-735X,JOURNAL OF PEDIATRIC PSYCHOLOGY,J PEDIATR PSYCHOL,J. Pediatr. Psychol.,J Pediatr Psychol
2369-5293,JOURNAL OF PALLIATIVE CARE,J PALLIAT CARE,J. Palliative Care,J Palliat Care
1096-9896,JOURNAL OF PATHOLOGY,J PATHOL,J. Pathol.,J Pathol
1098-2825,JOURNAL OF CLINICAL LABORATORY ANALYSIS,J CLIN LAB ANAL,J. Clin. Lab. Anal.,J Clin Lab Anal
1097-6833,JOURNAL OF PEDIATRICS,J PEDIATR-US,J. Pediatr.,J Pediatr
2159-9777,JOURNAL OF PSYCHOACTIVE DRUGS,J PSYCHOACTIVE DRUGS,J. Psychoact. Drugs,J Psychoactive Drugs
1873-2682,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,J PHOTOCH PHOTOBIO B,J. Photochem. Photobiol. B-Biol.,J Photochem Photobiol B
1678-4782,Jornal de Pediatria,J PEDIAT-BRAZIL,J. Pediatr.,J Pediatr (Rio J)
1531-5037,JOURNAL OF PEDIATRIC SURGERY,J PEDIATR SURG,J. Pediatr. Surg.,J Pediatr Surg
1938-2405,JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS,J PEDIAT OPHTH STRAB,J. Pediatr. Ophthalmol. Strabismus.,J Pediatr Ophthalmol Strabismus
1532-656X,Journal of Pediatric Health Care,J PEDIATR HEALTH CAR,J. Pediatr. Health Care,J Pediatr Health Care
1464-5246,JOURNAL OF MICROENCAPSULATION,J MICROENCAPSUL,J. Microencapsul.,J Microencapsul
1619-3997,JOURNAL OF PERINATAL MEDICINE,J PERINAT MED,J. Perinat. Med.,J Perinat Med
1600-0765,JOURNAL OF PERIODONTAL RESEARCH,J PERIODONTAL RES,J. Periodont. Res.,J Periodontal Res
1943-3670,JOURNAL OF PERIODONTOLOGY,J PERIODONTOL,J. Periodont.,J Periodontol
1467-6494,JOURNAL OF PERSONALITY,J PERS,J. Pers.,J Pers
1532-7752,JOURNAL OF PERSONALITY ASSESSMENT,J PERS ASSESS,J. Pers. Assess.,J Pers Assess
2042-7158,JOURNAL OF PHARMACY AND PHARMACOLOGY,J PHARM PHARMACOL,J. Pharm. Pharmacol.,J Pharm Pharmacol
1600-079X,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,J. Pineal Res.,J Pineal Res
1520-6017,JOURNAL OF PHARMACEUTICAL SCIENCES,J PHARM SCI-US,J. Pharm. Sci.,J Pharm Sci
1939-1285,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,J EXP PSYCHOL LEARN,J. Exp. Psychol.-Learn. Mem. Cogn.,J Exp Psychol Learn Mem Cogn
1876-4738,Journal of Cardiology,J CARDIOL,J. Cardiol.,J Cardiol
1939-1315,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,J PERS SOC PSYCHOL,J. Pers. Soc. Psychol.,J Pers Soc Psychol
1530-8022,JOURNAL OF BIOMATERIALS APPLICATIONS,J BIOMATER APPL,J. Biomater. Appl.,J Biomater Appl
1873-4502,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,J CATARACT REFR SURG,J. Cataract. Refract. Surg.,J Cataract Refract Surg
1469-7793,JOURNAL OF PHYSIOLOGY-LONDON,J PHYSIOL-LONDON,J. Physiol.-London,J Physiol
1521-0103,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,J PHARMACOL EXP THER,J. Pharmacol. Exp. Ther.,J Pharmacol Exp Ther
1521-4028,JOURNAL OF BASIC MICROBIOLOGY,J BASIC MICROB,J. Basic Microbiol.,J Basic Microbiol
2162-6537,JOURNAL OF ENVIRONMENTAL PATHOLOGY TOXICOLOGY AND ONCOLOGY,J ENVIRON PATHOL TOX,J. Environ. Pathol. Toxicol. Oncol.,J Environ Pathol Toxicol Oncol
1930-8264,JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,J AM PODIAT MED ASSN,J. Am. Podiatr. Med. Assoc.,J Am Podiatr Med Assoc
1550-5073,JOURNAL OF PERINATAL & NEONATAL NURSING,J PERINAT NEONAT NUR,J. Perinat. Neonatal Nurs.,J Perinat Neonatal Nurs
1097-6841,JOURNAL OF PROSTHETIC DENTISTRY,J PROSTHET DENT,J. Prosthet. Dent.,J Prosthet Dent
1347-5231,YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN,YAKUGAKU ZASSHI,Yakugaku Zasshi-J. Pharm. Soc. Jpn.,Yakugaku Zasshi
0972-2823,Journal of Postgraduate Medicine,J POSTGRAD MED,J. Postgrad. Med.,J Postgrad Med
1520-6688,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,J POLICY ANAL MANAG,J. Policy Anal. Manage.,J Policy Anal Manage
1940-1019,JOURNAL OF PSYCHOLOGY,J PSYCHOL,J. Psychol.,J Psychol
1879-1379,JOURNAL OF PSYCHIATRIC RESEARCH,J PSYCHIATR RES,J. Psychiatr. Res.,J Psychiatr Res
1600-0714,JOURNAL OF ORAL PATHOLOGY & MEDICINE,J ORAL PATHOL MED,J. Oral Pathol. Med.,J Oral Pathol Med
1879-1360,JOURNAL OF PSYCHOSOMATIC RESEARCH,J PSYCHOSOM RES,J. Psychosomat. Res.,J Psychosom Res
2052-0468,Journal of the Royal Army Medical Corps,J ROY ARMY MED CORPS,J. R. Army Med. Corps,J R Army Med Corps
1939-1676,JOURNAL OF VETERINARY INTERNAL MEDICINE,J VET INTERN MED,J. Vet. Intern. Med.,J Vet Intern Med
1573-6555,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,J PSYCHOLINGUIST RES,J. Psycholinguist. Res.,J Psycholinguist Res
1752-7325,JOURNAL OF PUBLIC HEALTH DENTISTRY,J PUBLIC HEALTH DENT,J. Public Health Dent.,J Public Health Dent
1098-8947,JOURNAL OF RECONSTRUCTIVE MICROSURGERY,J RECONSTR MICROSURG,J. Reconstr. Microsurg.,J Reconstr Microsurg
1476-5527,JOURNAL OF HUMAN HYPERTENSION,J HUM HYPERTENS,J. Hum. Hypertens.,J Hum Hypertens
1097-0010,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,J SCI FOOD AGR,J. Sci. Food Agric.,J Sci Food Agric
1748-5827,JOURNAL OF SMALL ANIMAL PRACTICE,J SMALL ANIM PRACT,J. Small Anim. Pract.,J Small Anim Pract
1872-7603,JOURNAL OF REPRODUCTIVE IMMUNOLOGY,J REPROD IMMUNOL,J. Reprod. Immunol.,J Reprod Immunol
1499-2752,JOURNAL OF RHEUMATOLOGY,J RHEUMATOL,J. Rheumatol.,J Rheumatol
1539-6975,JOURNAL OF RISK AND INSURANCE,J RISK INSUR,J. Risk Insur.,J Risk Insur
1559-8519,JOURNAL OF SEX RESEARCH,J SEX RES,J. Sex Res.,J Sex Res
1945-2403,JOURNAL OF ANALYTICAL TOXICOLOGY,J ANAL TOXICOL,J. Anal. Toxicol.,J Anal Toxicol
1943-3565,JOURNAL OF REPRODUCTIVE MEDICINE,J REPROD MED,J. Reprod. Med.,J Reprod Med
1758-1095,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,J. R. Soc. Med.,J R Soc Med
1748-0361,JOURNAL OF RURAL HEALTH,J RURAL HEALTH,J. Rural Health,J Rural Health
2224-9435,Journal of the South African Veterinary Association,J S AFR VET ASSOC,J. S. Afr. Vet. Assoc.,J S Afr Vet Assoc
1827-1928,JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,J SPORT MED PHYS FIT,J. Sports Med. Phys. Fit.,J Sports Med Phys Fitness
1528-8951,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,J BIOMECH ENG-T ASME,J. Biomech. Eng.-Trans. ASME,J Biomech Eng
1746-1561,JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,J. Sch. Health,J Sch Health
1533-4023,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,J CARDIOVASC PHARM,J. Cardiovasc. Pharmacol.,J Cardiovasc Pharmacol
1940-1183,JOURNAL OF SOCIAL PSYCHOLOGY,J SOC PSYCHOL,J. Soc. Psychol.,J Soc Psychol
1095-8541,JOURNAL OF THEORETICAL BIOLOGY,J THEOR BIOL,J. Theor. Biol.,J Theor Biol
1872-678X,JOURNAL OF NEUROSCIENCE METHODS,J NEUROSCI METH,J. Neurosci. Methods,J Neurosci Methods
1097-685X,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,J THORAC CARDIOV SUR,J. Thorac. Cardiovasc. Surg.,J Thorac Cardiovasc Surg
1872-7573,JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,J. Ethnopharmacol.,J Ethnopharmacol
1880-3989,JOURNAL OF TOXICOLOGICAL SCIENCES,J TOXICOL SCI,J. Toxicol. Sci.,J Toxicol Sci
1548-1336,Journal of Oral Implantology,J ORAL IMPLANTOL,J. Oral Implant.,J Oral Implantol
1873-5835,LEUKEMIA RESEARCH,LEUKEMIA RES,Leuk. Res.,Leuk Res
1095-8673,JOURNAL OF SURGICAL RESEARCH,J SURG RES,J. Surg. Res.,J Surg Res
1097-4547,JOURNAL OF NEUROSCIENCE RESEARCH,J NEUROSCI RES,J. Neurosci. Res.,J Neurosci Res
1096-9098,JOURNAL OF SURGICAL ONCOLOGY,J SURG ONCOL,J. Surg. Oncol.,J Surg Oncol
1466-447X,JOURNAL OF SPORTS SCIENCES,J SPORT SCI,J. Sports Sci.,J Sports Sci
1465-3664,JOURNAL OF TROPICAL PEDIATRICS,J TROP PEDIATRICS,J. Trop. Pediatr.,J Trop Pediatr
1527-3792,JOURNAL OF UROLOGY,J UROLOGY,J. Urol.,J Urol
1538-3598,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,JAMA-J. Am. Med. Assoc.,JAMA
1365-2885,JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,J VET PHARMACOL THER,J. Vet. Pharmacol. Ther.,J Vet Pharmacol Ther
1550-9613,JOURNAL OF ULTRASOUND IN MEDICINE,J ULTRAS MED,J. Ultrasound Med.,J Ultrasound Med
1941-2444,JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,JPEN-PARENTER ENTER,J. Parenter. Enter. Nutr.,JPEN J Parenter Enteral Nutr
1098-5514,JOURNAL OF VIROLOGY,J VIROL,J. Virol.,J Virol
1873-6483,JOURNAL OF SUBSTANCE ABUSE TREATMENT,J SUBST ABUSE TREAT,J. Subst. Abus. Treat.,J Subst Abuse Treat
1536-0237,JOURNAL OF THORACIC IMAGING,J THORAC IMAG,J. Thorac. Imaging,J Thorac Imaging
1943-3700,JOURNAL OF WILDLIFE DISEASES,J WILDLIFE DIS,J. Wildl. Dis.,J Wildl Dis
1097-6809,JOURNAL OF VASCULAR SURGERY,J VASC SURG,J. Vasc. Surg.,J Vasc Surg
1465-3621,JAPANESE JOURNAL OF CLINICAL ONCOLOGY,JPN J CLIN ONCOL,Jpn. J. Clin. Oncol.,Jpn J Clin Oncol
1527-2966,Journal of Emergency Nursing,J EMERG NURS,J. Emerg. Nurs.,J Emerg Nurs
1897-4279,Kardiologia Polska,KARDIOL POL,Kardiol. Pol.,Kardiol Pol
1613-2246,JAPANESE JOURNAL OF OPHTHALMOLOGY,JPN J OPHTHALMOL,Jpn. J. Ophthalmol.,Jpn J Ophthalmol
1474-547X,LANCET,LANCET,Lancet,Lancet
1531-4995,LARYNGOSCOPE,LARYNGOSCOPE,Laryngoscope,Laryngoscope
1523-1755,KIDNEY INTERNATIONAL,KIDNEY INT,Kidney Int.,Kidney Int
1439-3824,KLINISCHE PADIATRIE,KLIN PADIATR,Klinische Padiatr.,Klin Padiatr
1573-2665,JOURNAL OF INHERITED METABOLIC DISEASE,J INHERIT METAB DIS,J. Inherit. Metab. Dis.,J Inherit Metab Dis
1439-3999,KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,KLIN MONATSBL AUGENH,Klinische Monatsblat. Augenheilkunde,Klin Monbl Augenheilkd
1758-1117,LABORATORY ANIMALS,LAB ANIM-UK,Lab. Anim.,Lab Anim
1756-6053,LANGUAGE AND SPEECH,LANG SPEECH,Lang. Speech,Lang Speech
1530-0307,LABORATORY INVESTIGATION,LAB INVEST,Lab. Invest.,Lab Invest
1879-0631,LIFE SCIENCES,LIFE SCI,Life Sci.,Life Sci
1096-9101,LASERS IN SURGERY AND MEDICINE,LASER SURG MED,Lasers Surg. Med.,Lasers Surg Med
2162-8807,LEPROSY REVIEW,LEPROSY REV,Lepr. Rev.,Lepr Rev
1558-9307,LIPIDS,LIPIDS,Lipids,Lipids
1432-1750,LUNG,LUNG,Lung,Lung
1872-6216,MECHANISMS OF AGEING AND DEVELOPMENT,MECH AGEING DEV,Mech. Ageing Dev.,Mech Ageing Dev
1476-5551,LEUKEMIA,LEUKEMIA,Leukemia,Leukemia
1741-0444,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,Med. Biol. Eng. Comput.,Med Biol Eng Comput
1557-9859,MEDICAL CLINICS OF NORTH AMERICA,MED CLIN N AM,Med. Clin. N. Am.,Med Clin North Am
1537-1948,MEDICAL CARE,MED CARE,Med. Care,Med Care
1578-8989,MEDICINA CLINICA,MED CLIN-BARCELONA,Med. Clin.,Med Clin (Barc)
1520-5835,MACROMOLECULES,MACROMOLECULES,Macromolecules,Macromolecules
1098-1128,MEDICINAL RESEARCH REVIEWS,MED RES REV,Med. Res. Rev.,Med Res Rev
1942-5546,MAYO CLINIC PROCEEDINGS,MAYO CLIN PROC,Mayo Clin. Proc.,Mayo Clin Proc
1432-1831,MEDICAL MICROBIOLOGY AND IMMUNOLOGY,MED MICROBIOL IMMUN,Med. Microbiol. Immunol.,Med Microbiol Immunol
2048-8343,MEDICAL HISTORY,MED HIST,Med. Hist.,Med Hist
1326-5377,MEDICAL JOURNAL OF AUSTRALIA,MED J AUSTRALIA,Med. J. Aust.,Med J Aust
1532-2777,MEDICAL HYPOTHESES,MED HYPOTHESES,Med. Hypotheses,Med Hypotheses
1523-2859,MEDICAL LETTER ON DRUGS AND THERAPEUTICS,MED LETT DRUGS THER,Med. Lett. Drugs Ther.,Med Lett Drugs Ther
1476-5543,Journal of Perinatology,J PERINATOL,J. Perinatol.,J Perinatol
1573-7365,METABOLIC BRAIN DISEASE,METAB BRAIN DIS,Metab. Brain Dis.,Metab Brain Dis
2473-4209,MEDICAL PHYSICS,MED PHYS,Med. Phys.,Med Phys
1468-0009,MILBANK QUARTERLY,MILBANK Q,Milbank Q.,Milbank Q
1539-0683,MCN-The American Journal of Maternal-Child Nursing,MCN-AM J MATERN-CHIL,MCN-Am. J. Matern.-Child Nurs.,MCN Am J Matern Child Nurs
1552-681X,MEDICAL DECISION MAKING,MED DECIS MAKING,Med. Decis. Mak.,Med Decis Making
1873-5894,MAGNETIC RESONANCE IMAGING,MAGN RESON IMAGING,Magn. Reson. Imaging,Magn Reson Imaging
1872-9452,MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,Mol. Asp. Med.,Mol Aspects Med
1530-0315,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,MED SCI SPORT EXER,Med. Sci. Sports Exerc.,Med Sci Sports Exerc
1096-1208,MICROBIAL PATHOGENESIS,MICROB PATHOGENESIS,Microb. Pathog.,Microb Pathog
1466-187X,MEDICAL TEACHER,MED TEACH,Med. Teach.,Med Teach
1545-5882,Medical Anthropology,MED ANTHROPOL,Med. Anthropol.,Med Anthropol
2042-1818,MEDICINE SCIENCE AND THE LAW,MED SCI LAW,Med. Sci. Law,Med Sci Law
1536-5964,MEDICINE,MEDICINE,Medicine (Baltimore),Medicine (Baltimore)
2353-1339,MEDYCYNA PRACY,MED PR,Med. Pr.,Med Pr
1098-2752,MICROSURGERY,MICROSURG,Microsurgery,Microsurgery
1522-2594,MAGNETIC RESONANCE IN MEDICINE,MAGN RESON MED,Magn. Reson. Med.,Magn Reson Med
1537-1719,MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,Mol. Biol. Evol.,Mol Biol Evol
1532-5946,MEMORY & COGNITION,MEM COGNITION,Mem. Cogn.,Mem Cognit
1365-2958,MOLECULAR MICROBIOLOGY,MOL MICROBIOL,Mol. Microbiol.,Mol Microbiol
1669-9106,MEDICINA-BUENOS AIRES,MEDICINA-BUENOS AIRE,Med.-Buenos Aires,Medicina (B Aires)
1678-8060,MEMORIAS DO INSTITUTO OSWALDO CRUZ,MEM I OSWALDO CRUZ,Mem. Inst. Oswaldo Cruz,Mem Inst Oswaldo Cruz
1464-3804,MUTAGENESIS,MUTAGENESIS,Mutagenesis,Mutagenesis
1532-8600,METABOLISM-CLINICAL AND EXPERIMENTAL,METABOLISM,Metab.-Clin. Exp.,Metabolism
1873-4111,MATURITAS,MATURITAS,Maturitas,Maturitas
1532-3099,MIDWIFERY,MIDWIFERY,Midwifery,Midwifery
1348-0421,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOL IMMUNOL,Microbiol. Immunol.,Microbiol Immunol
2511-705X,METHODS OF INFORMATION IN MEDICINE,METHOD INFORM MED,Methods Inf. Med.,Methods Inf Med
1827-1596,Minerva Anestesiologica,MINERVA ANESTESIOL,Minerva Anestesiol.,Minerva Anestesiol
1437-2320,NEUROSURGICAL REVIEW,NEUROSURG REV,Neurosurg. Rev.,Neurosurg Rev
1365-2923,MEDICAL EDUCATION,MED EDUC,Med. Educ.,Med Educ
1436-5073,MICROCHIMICA ACTA,MICROCHIM ACTA,Microchim. Acta,Mikrochim Acta
1095-9319,MICROVASCULAR RESEARCH,MICROVASC RES,Microvasc. Res.,Microvasc Res
1872-7972,NEUROSCIENCE LETTERS,NEUROSCI LETT,Neurosci. Lett.,Neurosci Lett
1827-1669,MINERVA MEDICA,MINERVA MED,Minerva Med.,Minerva Med
1827-1626,MINERVA CHIRURGICA,MINERVA CHIR,Minerva Chir.,Minerva Chir
1827-1618,MINERVA CARDIOANGIOLOGICA,MINERVA CARDIOANGIOL,Minerva Cardioangiol.,Minerva Cardioangiol
1460-2385,NEPHROLOGY DIALYSIS TRANSPLANTATION,NEPHROL DIAL TRANSPL,Nephrol. Dial. Transplant.,Nephrol Dial Transplant
1930-613X,MILITARY MEDICINE,MIL MED,Milit. Med.,Mil Med
1349-9157,JOURNAL OF RADIATION RESEARCH,J RADIAT RES,J. Radiat. Res.,J Radiat Res
1941-2452,NUTRITION IN CLINICAL PRACTICE,NUTR CLIN PRACT,Nutr. Clin. Pract.,Nutr Clin Pract
1532-2793,NURSE EDUCATION TODAY,NURS EDUC TODAY,Nurse Educ. Today,Nurse Educ Today
1545-861X,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,MMWR-Morb. Mortal. Wkly. Rep.,MMWR Morb Mortal Wkly Rep
1460-4752,NATURAL PRODUCT REPORTS,NAT PROD REP,Nat. Prod. Rep.,Nat Prod Rep
1872-9738,NEUROTOXICOLOGY AND TERATOLOGY,NEUROTOXICOL TERATOL,Neurotoxicol. Teratol.,Neurotoxicol Teratol
1769-7131,NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY,NEUROPHYSIOL CLIN,Neurophysiol. Clin.-Clin. Neurophysiol.,Neurophysiol Clin
1608-3245,MOLECULAR BIOLOGY,MOL BIOL+,Mol. Biol.,Mol Biol
1573-4978,MOLECULAR BIOLOGY REPORTS,MOL BIOL REP,Mol. Biol. Rep.,Mol Biol Rep
1872-9142,MOLECULAR IMMUNOLOGY,MOL IMMUNOL,Mol. Immunol.,Mol Immunol
1096-1194,MOLECULAR AND CELLULAR PROBES,MOL CELL PROBE,Mol. Cell. Probes,Mol Cell Probes
1531-8257,MOVEMENT DISORDERS,MOVEMENT DISORD,Mov. Disord.,Mov Disord
1098-5549,MOLECULAR AND CELLULAR BIOLOGY,MOL CELL BIOL,Mol. Cell. Biol.,Mol Cell Biol
1573-4919,MOLECULAR AND CELLULAR BIOCHEMISTRY,MOL CELL BIOCHEM,Mol. Cell. Biochem.,Mol Cell Biochem
1521-0111,MOLECULAR PHARMACOLOGY,MOL PHARMACOL,Mol. Pharmacol.,Mol Pharmacol
1097-4598,MUSCLE & NERVE,MUSCLE NERVE,Muscle Nerve,Muscle Nerve
1533-4406,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,N. Engl. J. Med.,N Engl J Med
1540-5834,MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,MONOGR SOC RES CHILD,Monogr. Soc. Res. Child Dev.,Monogr Soc Res Child Dev
1476-4687,NATURE,NATURE,Nature,Nature
1873-135X,MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,MUTAT RES-FUND MOL M,Mutat. Res.-Fundam. Mol. Mech. Mutagen.,Mutat Res
1433-0474,MONATSSCHRIFT KINDERHEILKUNDE,MONATSSCHR KINDERH,Mon.schr. Kinderheilkd.,Monatsschr Kinderheilkd
